iteration,onnx_export_sec,selfplay_sec,memory_load_sec,stats_load_sec,monitor_log_sec,train_total_sec,train_epoch_avg_sec,train_epoch_min_sec,train_epoch_max_sec,save_sec,iteration_total_sec,memory_rows,selfplay_rows_per_sec
28,0.088553,731.018520,2.210516,0.007951,0.051760,124.046601,31.011350,29.080973,32.675871,0.035277,857.459878,45190,193148,61.818
29,0.076375,746.357868,2.350401,0.008381,0.068154,138.463457,34.615565,32.990855,35.850678,0.032959,887.358084,50222,209485,67.289
30,0.066614,747.100541,2.490331,0.008574,0.052803,145.154315,36.288279,35.803085,36.747440,0.033585,894.907306,49343,224273,66.046
31,0.068971,750.610725,2.807506,0.011897,0.066287,147.377582,36.844058,35.581856,38.248664,0.027884,900.971742,56332,238843,75.048
32,0.066295,787.460330,2.957854,0.008894,0.053979,164.793535,41.198093,40.180175,42.598942,0.035924,955.377366,63263,264350,80.338
33,0.077373,746.457276,3.142938,0.009246,0.055113,184.638986,46.159421,45.274320,47.283760,0.039723,934.421283,55775,274935,74.720
34,0.068110,769.823839,3.299668,0.009827,0.055256,191.361417,47.840048,47.419041,48.474806,0.032732,964.651562,65217,289930,84.717
35,0.075395,758.565752,3.433668,0.008980,0.053127,203.438771,50.859369,49.733363,52.219238,0.028569,965.604693,62030,302617,81.773
36,0.086363,788.918301,4.089220,0.013674,0.068568,217.225716,54.306100,52.380859,56.416020,0.027228,1010.430470,65036,311321,82.437
37,0.070040,844.040284,4.102316,0.010942,0.064087,214.895782,53.723537,52.883749,54.329342,0.045031,1063.229324,59495,307553,70.488
38,0.095225,889.876027,4.036666,0.010304,0.062618,238.799110,59.699145,57.324476,61.958841,0.031269,1132.912253,63044,314822,70.846
39,0.095737,863.037220,3.877617,0.010273,0.059362,208.783189,52.195447,50.082477,54.672589,0.034217,1075.898739,68571,318176,79.453
40,0.081820,789.611972,4.287062,0.009362,0.055544,216.675983,54.168694,50.859280,56.805872,0.028066,1010.750334,71407,327553,90.433
41,0.068669,788.458031,3.835628,0.010433,0.076115,230.323470,57.580524,56.451101,58.178243,0.028072,1022.801144,63524,326041,80.567
42,0.079857,925.983187,3.799965,0.010083,0.063477,231.534864,57.883332,55.615648,58.956452,0.032461,1161.504597,70896,337442,76.563
43,0.077730,844.409469,4.181459,0.009971,0.059361,242.216962,60.553900,57.045148,62.752126,0.041782,1090.997326,66744,341142,79.042
